TicketID,CreationDate,ResolutionDate,ReleaseIndex,ReleaseID,ReleaseName,ReleaseDate
"SYNCOPE-638","2015-02-13T08:23:30.000+0000","2015-02-13T14:21:37.000+0000",22,"12329017","1.2.2","2015-01-30T00:00"
"SYNCOPE-632","2015-01-28T10:53:05.000+0000","2015-01-29T16:52:02.000+0000",21,"12328766","1.2.1","2014-11-17T00:00"
"SYNCOPE-629","2015-01-20T11:46:26.000+0000","2015-01-21T09:41:45.000+0000",21,"12328766","1.2.1","2014-11-17T00:00"
"SYNCOPE-629","2015-01-20T11:46:26.000+0000","2015-01-21T09:41:45.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-617","2014-12-18T09:15:59.000+0000","2014-12-22T14:32:14.000+0000",21,"12328766","1.2.1","2014-11-17T00:00"
"SYNCOPE-615","2014-12-11T16:13:38.000+0000","2014-12-12T11:24:51.000+0000",22,"12329017","1.2.2","2015-01-30T00:00"
"SYNCOPE-614","2014-12-04T15:03:43.000+0000","2014-12-10T15:01:00.000+0000",21,"12328766","1.2.1","2014-11-17T00:00"
"SYNCOPE-613","2014-12-01T11:37:29.000+0000","2014-12-11T13:45:52.000+0000",21,"12328766","1.2.1","2014-11-17T00:00"
"SYNCOPE-611","2014-11-27T14:22:44.000+0000","2014-11-28T17:20:54.000+0000",21,"12328766","1.2.1","2014-11-17T00:00"
"SYNCOPE-610","2014-11-21T12:49:32.000+0000","2014-12-22T17:01:25.000+0000",21,"12328766","1.2.1","2014-11-17T00:00"
"SYNCOPE-608","2014-11-19T09:00:24.000+0000","2014-11-21T08:44:59.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-607","2014-11-19T08:26:39.000+0000","2014-11-21T08:44:36.000+0000",21,"12328766","1.2.1","2014-11-17T00:00"
"SYNCOPE-605","2014-11-11T15:16:52.000+0000","2014-11-12T15:34:02.000+0000",21,"12328766","1.2.1","2014-11-17T00:00"
"SYNCOPE-603","2014-11-06T18:41:18.000+0000","2014-11-07T08:36:11.000+0000",21,"12328766","1.2.1","2014-11-17T00:00"
"SYNCOPE-601","2014-11-06T10:06:41.000+0000","2014-11-10T11:22:22.000+0000",18,"12326735","1.1.8","2014-07-03T00:00"
"SYNCOPE-601","2014-11-06T10:06:41.000+0000","2014-11-10T11:22:22.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-600","2014-11-05T09:33:06.000+0000","2014-11-05T10:09:25.000+0000",18,"12326735","1.1.8","2014-07-03T00:00"
"SYNCOPE-600","2014-11-05T09:33:06.000+0000","2014-11-05T10:09:25.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-598","2014-11-02T21:29:51.000+0000","2014-11-06T08:54:29.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-597","2014-10-29T16:15:25.000+0000","2014-10-30T09:53:59.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-596","2014-10-28T11:25:45.000+0000","2014-10-28T13:33:50.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-596","2014-10-28T11:25:45.000+0000","2014-10-28T13:33:50.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-578","2014-10-23T13:43:47.000+0000","2014-10-30T16:22:04.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
"SYNCOPE-578","2014-10-23T13:43:47.000+0000","2014-10-30T16:22:04.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-576","2014-10-23T08:17:52.000+0000","2014-10-30T15:47:27.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-574","2014-10-20T15:21:03.000+0000","2014-10-22T20:40:26.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-574","2014-10-20T15:21:03.000+0000","2014-10-22T20:40:26.000+0000",27,"12322508","2.0.0-M1","2015-12-23T00:00"
"SYNCOPE-572","2014-10-20T10:03:44.000+0000","2014-10-31T10:33:36.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-571","2014-10-20T09:31:57.000+0000","2014-10-22T15:55:47.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-569","2014-10-16T13:03:36.000+0000","2014-10-17T09:56:05.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-568","2014-10-16T12:46:02.000+0000","2014-10-17T10:04:26.000+0000",18,"12326735","1.1.8","2014-07-03T00:00"
"SYNCOPE-568","2014-10-16T12:46:02.000+0000","2014-10-17T10:04:26.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-567","2014-10-15T14:39:39.000+0000","2014-10-17T10:08:48.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-566","2014-10-15T11:20:07.000+0000","2014-10-16T07:20:43.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-565","2014-10-13T11:39:25.000+0000","2014-10-14T13:17:40.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-564","2014-10-11T12:05:27.000+0000","2014-10-23T16:00:11.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-562","2014-10-08T08:04:45.000+0000","2014-10-09T09:50:06.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-561","2014-10-07T09:02:17.000+0000","2014-10-07T09:41:26.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-560","2014-10-07T08:19:36.000+0000","2014-10-07T08:36:06.000+0000",20,"12328548","1.2.0","2014-10-03T00:00"
"SYNCOPE-557","2014-10-03T15:52:41.000+0000","2014-10-07T08:15:11.000+0000",19,"12322505","1.2.0-M1","2014-09-08T00:00"
